County Name,County Name [Public School] 2015-16,County Number [Public School] 2015-16,Total Number of Public Schools [Public School] 2015-16
Charlottesville city VA  ,Charlottesville city,51540,13
Charlton County GA  ,Charlton County,13049,4
Chase County KS  ,Chase County,20017,2
Chase County NE  ,Chase County,31029,5
Chatham County GA  ,Chatham County,13051,57
Chatham County NC  ,Chatham County,37037,20
Chattahoochee County GA  ,Chattahoochee County,13053,3
Chattooga County GA  ,Chattooga County,13055,9
Chautauqua County KS  ,Chautauqua County,20019,4
Chautauqua County NY  ,Chautauqua County,36013,51
Chaves County NM  ,Chaves County,35005,35
Cheatham County TN  ,Cheatham County,47021,14
Cheboygan County MI  ,Cheboygan County,26031,10
Chelan County WA  ,Chelan County,53007,39
Chemung County NY  ,Chemung County,36015,25
Chenango County NY  ,Chenango County,36017,23
Cherokee County AL  ,Cherokee County,01019,8
Cherokee County GA  ,Cherokee County,13057,38
Cherokee County IA  ,Cherokee County,19035,11
Cherokee County KS  ,Cherokee County,20021,15
Cherokee County NC  ,Cherokee County,37039,15
Cherokee County OK  ,Cherokee County,40021,20
Cherokee County SC  ,Cherokee County,45021,19
Cherokee County TX  ,Cherokee County,48073,24
Cherry County NE  ,Cherry County,31031,12
Chesapeake city VA  ,Chesapeake city,51550,51
Cheshire County NH  ,Cheshire County,33005,37
Chester County PA  ,Chester County,42029,112
Chester County SC  ,Chester County,45023,12
Chester County TN  ,Chester County,47023,6
Chesterfield County SC  ,Chesterfield County,45025,16
Chesterfield County VA  ,Chesterfield County,51041,67
Cheyenne County CO  ,Cheyenne County,08017,4
Cheyenne County KS  ,Cheyenne County,20023,4
Cheyenne County NE  ,Cheyenne County,31033,11
Chickasaw County IA  ,Chickasaw County,19037,9
Chickasaw County MS  ,Chickasaw County,28017,9
Chicot County AR  ,Chicot County,05017,7
Childress County TX  ,Childress County,48075,3
Chilton County AL  ,Chilton County,01021,13
Chippewa County MI  ,Chippewa County,26033,19
Chippewa County MN  ,Chippewa County,27023,11
Chippewa County WI  ,Chippewa County,55017,26
Chisago County MN  ,Chisago County,27025,22
Chittenden County VT  ,Chittenden County,50007,51
Choctaw County AL  ,Choctaw County,01023,4
Choctaw County MS  ,Choctaw County,28019,5
Choctaw County OK  ,Choctaw County,40023,14
Chouteau County MT  ,Chouteau County,30015,14
Chowan County NC  ,Chowan County,37041,4
Christian County IL  ,Christian County,17021,20
Christian County KY  ,Christian County,21047,23
Christian County MO  ,Christian County,29043,31
Churchill County NV  ,Churchill County,32001,8
Cibola County NM  ,Cibola County,35006,13
Cimarron County OK  ,Cimarron County,40025,7
Citrus County FL  ,Citrus County,12017,27
Clackamas County OR  ,Clackamas County,41005,115
Claiborne County MS  ,Claiborne County,28021,4
Claiborne County TN  ,Claiborne County,47025,13
Claiborne Parish LA  ,Claiborne Parish,22027,7
Clallam County WA  ,Clallam County,53009,29
Clare County MI  ,Clare County,26035,14
Clarendon County SC  ,Clarendon County,45027,14
Clarion County PA  ,Clarion County,42031,17
Clark County AR  ,Clark County,05019,9
Clark County ID  ,Clark County,16033,2
Clark County IL  ,Clark County,17023,9
Clark County IN  ,Clark County,18019,32
Clark County KS  ,Clark County,20025,5
Clark County KY  ,Clark County,21049,10
Clark County MO  ,Clark County,29045,6
Clark County NV  ,Clark County,32003,393
Clark County OH  ,Clark County,39023,51
Clark County SD  ,Clark County,46025,12
Clark County WA  ,Clark County,53011,135
Clark County WI  ,Clark County,55019,20
Clarke County AL  ,Clarke County,01025,11
Clarke County GA  ,Clarke County,13059,21
Clarke County IA  ,Clarke County,19039,5
Clarke County MS  ,Clarke County,28023,9
Clarke County VA  ,Clarke County,51043,4
Clatsop County OR  ,Clatsop County,41007,14
Clay County AL  ,Clay County,01027,4
Clay County AR  ,Clay County,05021,7
Clay County FL  ,Clay County,12019,50
Clay County GA  ,Clay County,13061,3
Clay County IA  ,Clay County,19041,7
Clay County IL  ,Clay County,17025,12
Clay County IN  ,Clay County,18021,10
Clay County KS  ,Clay County,20027,6
Clay County KY  ,Clay County,21051,12
Clay County MN  ,Clay County,27027,26
Clay County MO  ,Clay County,29047,74
Clay County MS  ,Clay County,28025,18
Clay County NC  ,Clay County,37043,3
Clay County NE  ,Clay County,31035,8
Clay County SD  ,Clay County,46027,5
Clay County TN  ,Clay County,47027,4
Clay County TX  ,Clay County,48077,7
Clay County WV  ,Clay County,54015,6
Clayton County GA  ,Clayton County,13063,66
Clayton County IA  ,Clayton County,19043,11
Clear Creek County CO  ,Clear Creek County,08019,5
Clearfield County PA  ,Clearfield County,42033,21
Clearwater County ID  ,Clearwater County,16035,7
Clearwater County MN  ,Clearwater County,27029,5
Cleburne County AL  ,Cleburne County,01029,9
Cleburne County AR  ,Cleburne County,05023,9
Clermont County OH  ,Clermont County,39025,48
Cleveland County AR  ,Cleveland County,05025,5
Cleveland County NC  ,Cleveland County,37045,30
Cleveland County OK  ,Cleveland County,40027,72
Clinch County GA  ,Clinch County,13065,3
Clinton County IA  ,Clinton County,19045,18
Clinton County IL  ,Clinton County,17027,19
Clinton County IN  ,Clinton County,18023,11
Clinton County KY  ,Clinton County,21053,6
Clinton County MI  ,Clinton County,26037,29
Clinton County MO  ,Clinton County,29049,13
Clinton County NY  ,Clinton County,36019,28
Clinton County OH  ,Clinton County,39027,17
Clinton County PA  ,Clinton County,42035,12
Cloud County KS  ,Cloud County,20029,8
Coahoma County MS  ,Coahoma County,28027,17
Coal County OK  ,Coal County,40029,6
Cobb County GA  ,Cobb County,13067,124
Cochise County AZ  ,Cochise County,04003,80
Cochran County TX  ,Cochran County,48079,5
Cocke County TN  ,Cocke County,47029,13
Coconino County AZ  ,Coconino County,04005,68
Codington County SD  ,Codington County,46029,18
Coffee County AL  ,Coffee County,01031,19
Coffee County GA  ,Coffee County,13069,12
Coffee County TN  ,Coffee County,47031,19
Coffey County KS  ,Coffey County,20031,11
Coke County TX  ,Coke County,48081,4
Colbert County AL  ,Colbert County,01033,25
Cole County MO  ,Cole County,29051,27
Coleman County TX  ,Coleman County,48083,6
Coles County IL  ,Coles County,17029,17
Colfax County NE  ,Colfax County,31037,13
Colfax County NM  ,Colfax County,35007,18
Colleton County SC  ,Colleton County,45029,9
Collier County FL  ,Collier County,12021,71
Collin County TX  ,Collin County,48085,280
Collingsworth County TX  ,Collingsworth County,48087,3
Colonial Heights city VA  ,Colonial Heights city,51570,6
Colorado County TX  ,Colorado County,48089,14
Colquitt County GA  ,Colquitt County,13071,14
Columbia County AR  ,Columbia County,05027,9
Columbia County FL  ,Columbia County,12023,23
Columbia County GA  ,Columbia County,13073,30
Columbia County NY  ,Columbia County,36021,20
Columbia County OR  ,Columbia County,41009,21
Columbia County PA  ,Columbia County,42037,20
Columbia County WA  ,Columbia County,53013,4
Columbia County WI  ,Columbia County,55021,36
Columbiana County OH  ,Columbiana County,39029,40
Columbus County NC  ,Columbus County,37047,26
Colusa County CA  ,Colusa County,06011,22
Comal County TX  ,Comal County,48091,44
Comanche County KS  ,Comanche County,20033,3
Comanche County OK  ,Comanche County,40031,54
Comanche County TX  ,Comanche County,48093,10
Concho County TX  ,Concho County,48095,6
Concordia Parish LA  ,Concordia Parish,22029,11
Conecuh County AL  ,Conecuh County,01035,7
Conejos County CO  ,Conejos County,08021,10
Contra Costa County CA  ,Contra Costa County,06013,273
Converse County WY  ,Converse County,56009,15
Conway County AR  ,Conway County,05029,11
Cook County GA  ,Cook County,13075,4
Cook County IL  ,Cook County,17031,1317
Cook County MN  ,Cook County,27031,8
Cooke County TX  ,Cooke County,48097,21
Cooper County MO  ,Cooper County,29053,16
Coos County NH  ,Coos County,33007,24
Coos County OR  ,Coos County,41011,25
Coosa County AL  ,Coosa County,01037,4
Copiah County MS  ,Copiah County,28029,7
Corson County SD  ,Corson County,46031,9
Cortland County NY  ,Cortland County,36023,18
Coryell County TX  ,Coryell County,48099,28
Coshocton County OH  ,Coshocton County,39031,13
Costilla County CO  ,Costilla County,08023,2
Cottle County TX  ,Cottle County,48101,1
Cotton County OK  ,Cotton County,40033,7
Cottonwood County MN  ,Cottonwood County,27033,11
Covington city VA  ,Covington city,51580,3
Covington County AL  ,Covington County,01039,15
Covington County MS  ,Covington County,28031,10
Coweta County GA  ,Coweta County,13077,30
Cowley County KS  ,Cowley County,20035,24
Cowlitz County WA  ,Cowlitz County,53015,48
Craig County OK  ,Craig County,40035,13
Craig County VA  ,Craig County,51045,2
Craighead County AR  ,Craighead County,05031,36
Crane County TX  ,Crane County,48103,3
Craven County NC  ,Craven County,37049,25
Crawford County AR  ,Crawford County,05033,21
Crawford County GA  ,Crawford County,13079,3
Crawford County IA  ,Crawford County,19047,13
Crawford County IL  ,Crawford County,17033,10
Crawford County IN  ,Crawford County,18025,6
Crawford County KS  ,Crawford County,20037,16
Crawford County MI  ,Crawford County,26039,5
Crawford County MO  ,Crawford County,29055,9
Crawford County OH  ,Crawford County,39033,19
Crawford County PA  ,Crawford County,42039,26
Crawford County WI  ,Crawford County,55023,15
Creek County OK  ,Creek County,40037,38
Crenshaw County AL  ,Crenshaw County,01041,4
Crisp County GA  ,Crisp County,13081,6
Crittenden County AR  ,Crittenden County,05035,20
Crittenden County KY  ,Crittenden County,21055,4
Crockett County TN  ,Crockett County,47033,7
Crockett County TX  ,Crockett County,48105,3
Crook County OR  ,Crook County,41013,9
Crook County WY  ,Crook County,56011,8
Crosby County TX  ,Crosby County,48107,10
Cross County AR  ,Cross County,05037,6
Crow Wing County MN  ,Crow Wing County,27035,21
Crowley County CO  ,Crowley County,08025,3
Culberson County TX  ,Culberson County,48109,2
Cullman County AL  ,Cullman County,01043,36
Culpeper County VA  ,Culpeper County,51047,11
Cumberland County IL  ,Cumberland County,17035,7
Cumberland County KY  ,Cumberland County,21057,3
Cumberland County ME  ,Cumberland County,23005,98
Cumberland County NC  ,Cumberland County,37051,89
Cumberland County NJ  ,Cumberland County,34011,58
Cumberland County PA  ,Cumberland County,42041,57
Cumberland County TN  ,Cumberland County,47035,12
Cumberland County VA  ,Cumberland County,51049,4
Cuming County NE  ,Cuming County,31039,9
Currituck County NC  ,Currituck County,37053,11
Curry County NM  ,Curry County,35009,29
Curry County OR  ,Curry County,41015,7
Custer County CO  ,Custer County,08027,3
Custer County ID  ,Custer County,16037,6
Custer County MT  ,Custer County,30017,14
Custer County NE  ,Custer County,31041,17
Custer County OK  ,Custer County,40039,15
Custer County SD  ,Custer County,46033,9
Cuyahoga County OH  ,Cuyahoga County,39035,379
Dade County GA  ,Dade County,13083,4
Dade County MO  ,Dade County,29057,11
Daggett County UT  ,Daggett County,49009,4
Dakota County MN  ,Dakota County,27037,137
Dakota County NE  ,Dakota County,31043,11
Dale County AL  ,Dale County,01045,17
Dallam County TX  ,Dallam County,48111,3
Dallas County AL  ,Dallas County,01047,25
Dallas County AR  ,Dallas County,05039,4
Dallas County IA  ,Dallas County,19049,33
Dallas County MO  ,Dallas County,29059,5
Dallas County TX  ,Dallas County,48113,755
Dane County WI  ,Dane County,55025,161
Daniels County MT  ,Daniels County,30019,3
Danville city VA  ,Danville city,51590,15
Dare County NC  ,Dare County,37055,11
Darke County OH  ,Darke County,39037,22
Darlington County SC  ,Darlington County,45031,23
Dauphin County PA  ,Dauphin County,42043,71
Davidson County NC  ,Davidson County,37057,46
Davidson County TN  ,Davidson County,47037,170
Davie County NC  ,Davie County,37059,12
Daviess County IN  ,Daviess County,18027,11
Daviess County KY  ,Daviess County,21059,35
Daviess County MO  ,Daviess County,29061,10
Davis County IA  ,Davis County,19051,4
Davis County UT  ,Davis County,49011,103
Davison County SD  ,Davison County,46035,13
Dawes County NE  ,Dawes County,31045,8
Dawson County GA  ,Dawson County,13085,7
Dawson County MT  ,Dawson County,30021,10
Dawson County NE  ,Dawson County,31047,19
Dawson County TX  ,Dawson County,48115,9
Day County SD  ,Day County,46037,6
De Baca County NM  ,De Baca County,35011,3
De Soto Parish LA  ,De Soto Parish,22031,9
De Witt County IL  ,De Witt County,17039,7
Deaf Smith County TX  ,Deaf Smith County,48117,11
Dearborn County IN  ,Dearborn County,18029,15
Decatur County GA  ,Decatur County,13087,9
Decatur County IA  ,Decatur County,19053,7
Decatur County IN  ,Decatur County,18031,7
Decatur County KS  ,Decatur County,20039,2
Decatur County TN  ,Decatur County,47039,4
Deer Lodge County MT  ,Deer Lodge County,30023,4
Defiance County OH  ,Defiance County,39039,14
DeKalb County AL  ,DeKalb County,01049,20
DeKalb County GA  ,DeKalb County,13089,157
DeKalb County IL  ,DeKalb County,17037,42
DeKalb County IN  ,DeKalb County,18033,14
DeKalb County MO  ,DeKalb County,29063,9
DeKalb County TN  ,DeKalb County,47041,6
Del Norte County CA  ,Del Norte County,06015,18
Delaware County IA  ,Delaware County,19055,9
Delaware County IN  ,Delaware County,18035,35
Delaware County NY  ,Delaware County,36025,22
Delaware County OH  ,Delaware County,39041,54
Delaware County OK  ,Delaware County,40041,19
Delaware County PA  ,Delaware County,42045,108
Delta County CO  ,Delta County,08029,17
Delta County MI  ,Delta County,26041,17
Delta County TX  ,Delta County,48119,4
Denali Borough AK  ,Denali Borough,02068,4
Dent County MO  ,Dent County,29065,9
Denton County TX  ,Denton County,48121,238
Denver County CO  ,Denver County,08031,203
Des Moines County IA  ,Des Moines County,19057,17
Deschutes County OR  ,Deschutes County,41017,47
Desha County AR  ,Desha County,05041,6
DeSoto County FL  ,DeSoto County,12027,13
DeSoto County MS  ,DeSoto County,28033,41
Deuel County NE  ,Deuel County,31049,4
Deuel County SD  ,Deuel County,46039,4
Dewey County OK  ,Dewey County,40043,9
Dewey County SD  ,Dewey County,46041,9
DeWitt County TX  ,DeWitt County,48123,23
Dickens County TX  ,Dickens County,48125,2
Dickenson County VA  ,Dickenson County,51051,9
Dickey County ND  ,Dickey County,38021,5
Dickinson County IA  ,Dickinson County,19059,9
Dickinson County KS  ,Dickinson County,20041,18
Dickinson County MI  ,Dickinson County,26043,13
Dickson County TN  ,Dickson County,47043,16
Dillingham Census Area AK  ,Dillingham Census Area,02070,11
Dillon County SC  ,Dillon County,45033,12
Dimmit County TX  ,Dimmit County,48127,6
Dinwiddie County VA  ,Dinwiddie County,51053,9
District of Columbia DC  ,District of Columbia,11001,245
Divide County ND  ,Divide County,38023,2
Dixie County FL  ,Dixie County,12029,8
Dixon County NE  ,Dixon County,31051,6
DoÃƒÂ±a Ana County NM  ,DoÃƒÂ±a Ana County,35013,73
Doddridge County WV  ,Doddridge County,54017,4
Dodge County GA  ,Dodge County,13091,7
Dodge County MN  ,Dodge County,27039,9
Dodge County NE  ,Dodge County,31053,21
Dodge County WI  ,Dodge County,55027,41
Dolores County CO  ,Dolores County,08033,3
Doniphan County KS  ,Doniphan County,20043,11
Donley County TX  ,Donley County,48129,4
Dooly County GA  ,Dooly County,13093,3
Door County WI  ,Door County,55029,17
Dorchester County MD  ,Dorchester County,24019,13
Dorchester County SC  ,Dorchester County,45035,28
Dougherty County GA  ,Dougherty County,13095,24
Douglas County CO  ,Douglas County,08035,92
Douglas County GA  ,Douglas County,13097,35
Douglas County IL  ,Douglas County,17041,11
Douglas County KS  ,Douglas County,20045,29
Douglas County MN  ,Douglas County,27041,19
Douglas County MO  ,Douglas County,29067,5
Douglas County NE  ,Douglas County,31055,195
Douglas County NV  ,Douglas County,32005,14
Douglas County OR  ,Douglas County,41019,47
Douglas County SD  ,Douglas County,46043,9
Douglas County WA  ,Douglas County,53017,21
Douglas County WI  ,Douglas County,55031,14
Drew County AR  ,Drew County,05043,8
Dubois County IN  ,Dubois County,18037,18
Dubuque County IA  ,Dubuque County,19061,27
Duchesne County UT  ,Duchesne County,49013,13
Dukes County MA  ,Dukes County,25007,8
Dundy County NE  ,Dundy County,31057,2
Dunklin County MO  ,Dunklin County,29069,21
Dunn County ND  ,Dunn County,38025,5
Dunn County WI  ,Dunn County,55033,17
DuPage County IL  ,DuPage County,17043,258
Duplin County NC  ,Duplin County,37061,16
Durham County NC  ,Durham County,37063,69
Dutchess County NY  ,Dutchess County,36027,76
Duval County FL  ,Duval County,12031,224
Duval County TX  ,Duval County,48131,9
Dyer County TN  ,Dyer County,47045,12
Eagle County CO  ,Eagle County,08037,20
Early County GA  ,Early County,13099,3
East Baton Rouge Parish LA  ,East Baton Rouge Parish,22033,124
East Carroll Parish LA  ,East Carroll Parish,22035,3
East Feliciana Parish LA  ,East Feliciana Parish,22037,9
Eastland County TX  ,Eastland County,48133,16
Eaton County MI  ,Eaton County,26045,49
Eau Claire County WI  ,Eau Claire County,55035,36
Echols County GA  ,Echols County,13101,2
Ector County TX  ,Ector County,48135,48
Eddy County ND  ,Eddy County,38027,3
Eddy County NM  ,Eddy County,35015,27
Edgar County IL  ,Edgar County,17045,18
Edgecombe County NC  ,Edgecombe County,37065,19
Edgefield County SC  ,Edgefield County,45037,10
Edmonson County KY  ,Edmonson County,21061,5
Edmunds County SD  ,Edmunds County,46045,12
Edwards County IL  ,Edwards County,17047,3
Edwards County KS  ,Edwards County,20047,3
Edwards County TX  ,Edwards County,48137,2
Effingham County GA  ,Effingham County,13103,13
Effingham County IL  ,Effingham County,17049,17
El Dorado County CA  ,El Dorado County,06017,68
El Paso County CO  ,El Paso County,08041,222
El Paso County TX  ,El Paso County,48141,282
Elbert County CO  ,Elbert County,08039,17
Elbert County GA  ,Elbert County,13105,6
Elk County KS  ,Elk County,20049,3
Elk County PA  ,Elk County,42047,10
Elkhart County IN  ,Elkhart County,18039,57
Elko County NV  ,Elko County,32007,36
Elliott County KY  ,Elliott County,21063,4
Ellis County KS  ,Ellis County,20051,11
Ellis County OK  ,Ellis County,40045,8
Ellis County TX  ,Ellis County,48139,64
Ellsworth County KS  ,Ellsworth County,20053,6
Elmore County AL  ,Elmore County,01051,19
Elmore County ID  ,Elmore County,16039,15
Emanuel County GA  ,Emanuel County,13107,6
Emery County UT  ,Emery County,49015,10
Emmet County IA  ,Emmet County,19063,5
Emmet County MI  ,Emmet County,26047,16
Emmons County ND  ,Emmons County,38029,8
Emporia city VA  ,Emporia city,51595,1
Erath County TX  ,Erath County,48143,17
Erie County NY  ,Erie County,36029,216
Erie County OH  ,Erie County,39043,26
Erie County PA  ,Erie County,42049,72
Escambia County AL  ,Escambia County,01053,18
Escambia County FL  ,Escambia County,12033,73
Esmeralda County NV  ,Esmeralda County,32009,3
Essex County MA  ,Essex County,25009,232
Essex County NJ  ,Essex County,34013,246
Essex County NY  ,Essex County,36031,17
Essex County VA  ,Essex County,51057,4
Essex County VT  ,Essex County,50009,5
Estill County KY  ,Estill County,21065,7
Etowah County AL  ,Etowah County,01055,42
Eureka County NV  ,Eureka County,32011,4
Evangeline Parish LA  ,Evangeline Parish,22039,12
Evans County GA  ,Evans County,13109,4
Fairbanks North Star Borough AK  ,Fairbanks North Star Borough,02090,37
Fairfax city VA  ,Fairfax city,51600,5
Fairfax County VA  ,Fairfax County,51059,221
Fairfield County CT  ,Fairfield County,09001,271
Fairfield County OH  ,Fairfield County,39045,46
Fairfield County SC  ,Fairfield County,45039,9
Fall River County SD  ,Fall River County,46047,8
Fallon County MT  ,Fallon County,30025,7
Falls Church city VA  ,Falls Church city,51610,4
Falls County TX  ,Falls County,48145,16
Fannin County GA  ,Fannin County,13111,5
Fannin County TX  ,Fannin County,48147,23
Faribault County MN  ,Faribault County,27043,14
Faulk County SD  ,Faulk County,46049,7
Faulkner County AR  ,Faulkner County,05045,40
Fauquier County VA  ,Fauquier County,51061,21
Fayette County AL  ,Fayette County,01057,6
Fayette County GA  ,Fayette County,13113,24
Fayette County IA  ,Fayette County,19065,16
Fayette County IL  ,Fayette County,17051,16
Fayette County IN  ,Fayette County,18041,9
Fayette County KY  ,Fayette County,21067,76
Fayette County OH  ,Fayette County,39047,7
Fayette County PA  ,Fayette County,42051,46
Fayette County TN  ,Fayette County,47047,7
Fayette County TX  ,Fayette County,48149,12
Fayette County WV  ,Fayette County,54019,18
Fentress County TN  ,Fentress County,47049,7
Fergus County MT  ,Fergus County,30027,24
Ferry County WA  ,Ferry County,53019,12
Fillmore County MN  ,Fillmore County,27045,15
Fillmore County NE  ,Fillmore County,31059,10
Finney County KS  ,Finney County,20055,21
Fisher County TX  ,Fisher County,48151,5
Flagler County FL  ,Flagler County,12035,17
Flathead County MT  ,Flathead County,30029,46
Fleming County KY  ,Fleming County,21069,6
Florence County SC  ,Florence County,45041,42
Florence County WI  ,Florence County,55037,3
Floyd County GA  ,Floyd County,13115,31
Floyd County IA  ,Floyd County,19067,10
Floyd County IN  ,Floyd County,18043,17
Floyd County KY  ,Floyd County,21071,18
Floyd County TX  ,Floyd County,48153,8
Floyd County VA  ,Floyd County,51063,4
Fluvanna County VA  ,Fluvanna County,51065,7
Foard County TX  ,Foard County,48155,1
Fond du Lac County WI  ,Fond du Lac County,55039,42
Ford County IL  ,Ford County,17053,9
Ford County KS  ,Ford County,20057,16
Forest County PA  ,Forest County,42053,4
Forest County WI  ,Forest County,55041,7
Forrest County MS  ,Forrest County,28035,22
Forsyth County GA  ,Forsyth County,13117,35
Forsyth County NC  ,Forsyth County,37067,84
Fort Bend County TX  ,Fort Bend County,48157,172
Foster County ND  ,Foster County,38031,3
Fountain County IN  ,Fountain County,18045,7
Franklin city VA  ,Franklin city,51620,3
Franklin County AL  ,Franklin County,01059,13
Franklin County AR  ,Franklin County,05047,9
Franklin County FL  ,Franklin County,12037,4
Franklin County GA  ,Franklin County,13119,6
Franklin County IA  ,Franklin County,19069,8
Franklin County ID  ,Franklin County,16041,9
Franklin County IL  ,Franklin County,17055,20
Franklin County IN  ,Franklin County,18047,7
Franklin County KS  ,Franklin County,20059,15
Franklin County KY  ,Franklin County,21073,18
Franklin County MA  ,Franklin County,25011,39
Franklin County ME  ,Franklin County,23007,17
Franklin County MO  ,Franklin County,29071,43
Franklin County MS  ,Franklin County,28037,5
Franklin County NC  ,Franklin County,37069,18
Franklin County NE  ,Franklin County,31061,3
Franklin County NY  ,Franklin County,36033,21
Franklin County OH  ,Franklin County,39049,376
Franklin County PA  ,Franklin County,42055,40
Franklin County TN  ,Franklin County,47051,12
Franklin County TX  ,Franklin County,48159,4
Franklin County VA  ,Franklin County,51067,16
Franklin County VT  ,Franklin County,50011,22
Franklin County WA  ,Franklin County,53021,36
Franklin Parish LA  ,Franklin Parish,22041,6
Frederick County MD  ,Frederick County,24021,67
Frederick County VA  ,Frederick County,51069,18
Fredericksburg city VA  ,Fredericksburg city,51630,5
Freeborn County MN  ,Freeborn County,27047,14
Freestone County TX  ,Freestone County,48161,17
Fremont County CO  ,Fremont County,08043,15
Fremont County IA  ,Fremont County,19071,8
Fremont County ID  ,Fremont County,16043,9
Fremont County WY  ,Fremont County,56013,33
Fresno County CA  ,Fresno County,06019,350
Frio County TX  ,Frio County,48163,7
Frontier County NE  ,Frontier County,31063,6
Fulton County AR  ,Fulton County,05049,6
Fulton County GA  ,Fulton County,13121,204
Fulton County IL  ,Fulton County,17057,25
Fulton County IN  ,Fulton County,18049,7
Fulton County KY  ,Fulton County,21075,4
Fulton County NY  ,Fulton County,36035,21
Fulton County OH  ,Fulton County,39051,21
Fulton County PA  ,Fulton County,42057,8
Furnas County NE  ,Furnas County,31065,8
Gadsden County FL  ,Gadsden County,12039,24
Gage County NE  ,Gage County,31067,13
Gaines County TX  ,Gaines County,48165,8
Galax city VA  ,Galax city,51640,4
Gallatin County IL  ,Gallatin County,17059,3
Gallatin County KY  ,Gallatin County,21077,5
Gallatin County MT  ,Gallatin County,30031,45
Gallia County OH  ,Gallia County,39053,14
Galveston County TX  ,Galveston County,48167,109
Garden County NE  ,Garden County,31069,2
Garfield County CO  ,Garfield County,08045,26
Garfield County MT  ,Garfield County,30033,8
Garfield County NE  ,Garfield County,31071,3
Garfield County OK  ,Garfield County,40047,34
Garfield County UT  ,Garfield County,49017,9
Garfield County WA  ,Garfield County,53023,2
Garland County AR  ,Garland County,05051,29
Garrard County KY  ,Garrard County,21079,6
Garrett County MD  ,Garrett County,24023,12
Garvin County OK  ,Garvin County,40049,22
Garza County TX  ,Garza County,48169,5
Gasconade County MO  ,Gasconade County,29073,7
Gaston County NC  ,Gaston County,37071,58
Gates County NC  ,Gates County,37073,5
Geary County KS  ,Geary County,20061,16
Geauga County OH  ,Geauga County,39055,26
Gem County ID  ,Gem County,16045,9
Genesee County MI  ,Genesee County,26049,148
Genesee County NY  ,Genesee County,36037,21
Geneva County AL  ,Geneva County,01061,11
Gentry County MO  ,Gentry County,29075,7
George County MS  ,George County,28039,8
Georgetown County SC  ,Georgetown County,45043,19
Gibson County IN  ,Gibson County,18051,13
Gibson County TN  ,Gibson County,47053,20
Gila County AZ  ,Gila County,04007,35
Gilchrist County FL  ,Gilchrist County,12041,7
Giles County TN  ,Giles County,47055,8
Giles County VA  ,Giles County,51071,6
Gillespie County TX  ,Gillespie County,48171,10
Gilliam County OR  ,Gilliam County,41021,3
Gilmer County GA  ,Gilmer County,13123,6
Gilmer County WV  ,Gilmer County,54021,6
Gilpin County CO  ,Gilpin County,08047,2
Glacier County MT  ,Glacier County,30035,19
Glades County FL  ,Glades County,12043,10
Gladwin County MI  ,Gladwin County,26051,7
Glascock County GA  ,Glascock County,13125,1
Glasscock County TX  ,Glasscock County,48173,2
Glenn County CA  ,Glenn County,06021,25
Gloucester County NJ  ,Gloucester County,34015,86
Gloucester County VA  ,Gloucester County,51073,11
Glynn County GA  ,Glynn County,13127,17
Gogebic County MI  ,Gogebic County,26053,8
Golden Valley County MT  ,Golden Valley County,30037,6
Golden Valley County ND  ,Golden Valley County,38033,3
Goliad County TX  ,Goliad County,48175,4
Gonzales County TX  ,Gonzales County,48177,11
Goochland County VA  ,Goochland County,51075,5
Goodhue County MN  ,Goodhue County,27049,32
Gooding County ID  ,Gooding County,16047,11
Gordon County GA  ,Gordon County,13129,15
Goshen County WY  ,Goshen County,56015,12
Gosper County NE  ,Gosper County,31073,2
Gove County KS  ,Gove County,20063,6
Grady County GA  ,Grady County,13131,7
Grady County OK  ,Grady County,40051,31
Grafton County NH  ,Grafton County,33009,51
Graham County AZ  ,Graham County,04009,34
Graham County KS  ,Graham County,20065,2
Graham County NC  ,Graham County,37075,3
Grainger County TN  ,Grainger County,47057,9
Grand County CO  ,Grand County,08049,8
Grand County UT  ,Grand County,49019,5
Grand Forks County ND  ,Grand Forks County,38035,32
Grand Isle County VT  ,Grand Isle County,50013,5
Grand Traverse County MI  ,Grand Traverse County,26055,31
Granite County MT  ,Granite County,30039,7
Grant County AR  ,Grant County,05053,6
Grant County IN  ,Grant County,18053,27
Grant County KS  ,Grant County,20067,4
Grant County KY  ,Grant County,21081,11
Grant County MN  ,Grant County,27051,7
Grant County ND  ,Grant County,38037,3
Grant County NE  ,Grant County,31075,2
Grant County NM  ,Grant County,35017,16
Grant County OK  ,Grant County,40053,7
Grant County OR  ,Grant County,41023,7
Grant County SD  ,Grant County,46051,9
Grant County WA  ,Grant County,53025,55
Grant County WI  ,Grant County,55043,29
Grant County WV  ,Grant County,54023,6
Grant Parish LA  ,Grant Parish,22043,8
Granville County NC  ,Granville County,37077,24
Gratiot County MI  ,Gratiot County,26057,24
Graves County KY  ,Graves County,21083,15
Gray County KS  ,Gray County,20069,8
Gray County TX  ,Gray County,48179,10
Grays Harbor County WA  ,Grays Harbor County,53027,41
Grayson County KY  ,Grayson County,21085,8
Grayson County TX  ,Grayson County,48181,61
Grayson County VA  ,Grayson County,51077,8
Greeley County KS  ,Greeley County,20071,2
Greeley County NE  ,Greeley County,31077,6
Green County KY  ,Green County,21087,5
Green County WI  ,Green County,55045,20
Green Lake County WI  ,Green Lake County,55047,10
Greenbrier County WV  ,Greenbrier County,54025,15
Greene County AL  ,Greene County,01063,6
Greene County AR  ,Greene County,05055,15
Greene County GA  ,Greene County,13133,5
